timestamp,open,high,low,close,volume
2026-06-11 04:00:00,730.03,731.73,727.53,731.656,95921
2026-06-11 05:00:00,731.59,731.83,731.13,731.33,30833
2026-06-11 06:00:00,731.43,731.7,730.81,730.81,56062
2026-06-11 07:00:00,730.83,731.33,729.7,731.2397,339422
2026-06-11 08:00:00,731.2346,731.6,725.5573,729.6,1353552
2026-06-11 09:00:00,729.65,731.56,726.35,729.73,6102332
2026-06-11 10:00:00,729.75,731.575,725.11,725.6,6095457
2026-06-11 11:00:00,725.57,729.46,724.405,728.1,5563393
2026-06-11 12:00:00,728.08,730.31,726.5,726.5201,4579731
2026-06-11 13:00:00,726.54,736.62,725.26,734.95,12409864
2026-06-11 14:00:00,734.91,736.31,732.57,735.755,7282317
2026-06-11 15:00:00,735.74,740,735.26,737.64,16455928
2026-06-11 16:00:00,737.6425,739,735.8833,737.9956,4001005
2026-06-11 17:00:00,737.97,738.21,737.76,737.85,122327
2026-06-11 18:00:00,737.86,739.58,737.85,739.16,167671
2026-06-11 19:00:00,739.2,739.72,738.37,739.48,75027
2026-06-12 04:00:00,736.33,741.13,735.95,740.05,175032
2026-06-12 05:00:00,740.06,743.37,740.06,742.32,154133
2026-06-12 06:00:00,742.27,742.67,740.37,740.76,100767
2026-06-12 07:00:00,740.82,743.11,740.65,742.6894,195362
2026-06-12 08:00:00,742.72,742.8,738.55,738.85,441641
2026-06-12 09:00:00,738.86,740.89,735.03,736.62,5763921
2026-06-12 10:00:00,736.78,742.72,736.52,742.36,6248226
2026-06-12 11:00:00,742.39,744.44,738.44,738.89,5565827
2026-06-12 12:00:00,738.89,742.24,738.17,741.56,4492908
2026-06-12 13:00:00,741.58,743,740.87,741.3,3528478
2026-06-12 14:00:00,741.33,742.335,740.42,741.01,4427902
2026-06-12 15:00:00,740.99,742.21,740.07,741.63,7558733
2026-06-12 16:00:00,741.64,742.74,741.55,741.92,5212625
2026-06-12 17:00:00,742.04,742.2,741.75,742.14,203041
2026-06-12 18:00:00,742.19,742.39,741.95,742.32,88803
2026-06-12 19:00:00,742.32,742.49,742.2,742.45,47392
2026-06-15 04:00:00,750.12,751.53,748,751.05,97781
2026-06-15 05:00:00,751.05,751.43,750.24,750.7,38083
2026-06-15 06:00:00,750.57,751.17,750.57,751.17,16320
2026-06-15 07:00:00,751.08,752.1,751,751.47,328960
2026-06-15 08:00:00,751.49,751.77,750.7,751.36,361055
2026-06-15 09:00:00,751.33,754.09,751.1,753.32,5141760
2026-06-15 10:00:00,753.32,754.39,752.51,754.1922,4162492
2026-06-15 11:00:00,754.2,756.28,754.2,756.14,4259186
2026-06-15 12:00:00,756.155,756.68,755.525,755.85,3049450
2026-06-15 13:00:00,755.84,756.35,755.07,755.205,2961862
2026-06-15 14:00:00,755.21,755.47,754.42,755,3602259
2026-06-15 15:00:00,755.01,755.25,753.4,754.66,12180817
2026-06-15 16:00:00,754.64,754.9,754.18,754.29,4789054
2026-06-15 17:00:00,754.288,754.8,754.26,754.55,90093
2026-06-15 18:00:00,754.51,754.71,753.08,753.5599,169934
2026-06-15 19:00:00,753.54,753.95,753.31,753.9,44379
2026-06-16 04:00:00,754.32,754.91,753.42,754.53,76435
2026-06-16 05:00:00,754.51,754.72,753.79,753.92,19366
2026-06-16 06:00:00,753.93,754.94,753.93,754.88,21330
2026-06-16 07:00:00,754.871,755.35,754.69,755.04,126574
2026-06-16 08:00:00,755.0001,755.36,754,754.37,232327
2026-06-16 09:00:00,754.37,755.44,753.9,754.09,3156687
2026-06-16 10:00:00,754.11,755.29,752.27,752.93,4967784
2026-06-16 11:00:00,752.94,753.738,751.71,752.75,4251524
2026-06-16 12:00:00,752.74,753.97,752.332,752.73,2926959
2026-06-16 13:00:00,752.72,752.8,751.45,752.12,2377031
2026-06-16 14:00:00,752.105,752.35,751.63,751.78,2857836
2026-06-16 15:00:00,751.765,751.86,749.88,750.39,13089862
2026-06-16 16:00:00,750.39,750.46,749,749.92,2927068
2026-06-16 17:00:00,750,750.43,749.99,750,139403
2026-06-16 18:00:00,750,751.29,750,751.27,61497
2026-06-16 19:00:00,751.26,751.26,750.62,750.75,39377
2026-06-17 04:00:00,751.76,752.97,750.89,751.6498,82532
2026-06-17 05:00:00,751.67,751.88,750.75,750.9,31100
2026-06-17 06:00:00,750.85,751.51,750.27,750.8,19506
2026-06-17 07:00:00,750.849,751.47,750.1,750.44,109938
2026-06-17 08:00:00,750.48,751.38,750.45,751.29,245287
2026-06-17 09:00:00,751.24,751.77,749.86,749.8794,3411714
2026-06-17 10:00:00,749.87,752.15,747.85,749.06,5552216
2026-06-17 11:00:00,749.06,750.8599,748.5912,750.62,3293973
2026-06-17 12:00:00,750.63,751.03,749.91,750.005,2125880
2026-06-17 13:00:00,749.99,750.91,748.42,750.865,2938293
2026-06-17 14:00:00,750.82,750.8698,743.4662,746,13590130
2026-06-17 15:00:00,745.98,747.39,739.22,741.02,20647350
2026-06-17 16:00:00,741.03,743.23,740.7,742.82,6174702
2026-06-17 17:00:00,742.9,743.02,742.1739,742.88,236686
2026-06-17 18:00:00,742.88,744.43,742.23,744.2,175893
2026-06-17 19:00:00,744.25,745.65,744.14,745.6005,129044
2026-06-18 04:00:00,746.05,747,744.35,745.11,162150
2026-06-18 05:00:00,745,746.58,744.92,746.43,27706
2026-06-18 06:00:00,746.51,746.65,745.43,745.47,73264
2026-06-18 07:00:00,745.5005,746,743.35,744.43,236994
2026-06-18 08:00:00,744.44,746.59,744.24,746.14,323184
2026-06-18 09:00:00,746.13,748.2,743.86,744.75,5594550
2026-06-18 10:00:00,744.81,747.31,744.25,746.84,5991038
2026-06-18 11:00:00,746.86,747.07,744.331,746.2501,4257597
2026-06-18 12:00:00,746.26,747.25,745.75,746.64,2759672
